输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,79.7111,150.8517,150.9361,150.9454,150.4769,12.8644,14.3347,19.7161,12.4295
2048.0,1200.0,4,279.1275,477.0768,477.0954,477.0974,474.0708,14.4043,16.5148,33.7809,13.9449
2048.0,1200.0,8,493.3198,914.4607,915.0001,915.0803,912.1138,15.8629,16.5206,24.3667,15.4655
4096.0,1200.0,1,78.3533,267.1129,267.1913,267.2,266.7648,12.8979,14.4612,18.3847,12.5502
4096.0,1200.0,4,260.1323,920.2056,921.118,921.2194,913.5385,14.9775,16.0087,20.3467,14.6257
4096.0,1200.0,8,437.3756,1820.4665,1830.2792,1831.7477,1814.4798,17.2692,18.3458,23.9535,16.7715
8192.0,1200.0,1,75.3722,501.5404,501.9567,502.0029,499.6904,13.1699,15.52,18.5986,12.8612
8192.0,1200.0,4,233.6295,1877.455,1881.8452,1882.333,1865.9037,15.9328,16.9611,24.8102,15.5582
8192.0,1200.0,8,365.8424,3737.2311,3745.2428,3745.2934,3413.4723,19.2581,20.2986,35.5316,18.7614
12000.0,1200.0,1,72.8279,755.0937,755.0976,755.098,755.0764,13.4632,15.3985,20.8333,13.1119
12000.0,1200.0,4,207.9215,2895.142,2895.3497,2895.3728,2885.9365,17.2529,18.473,24.7387,16.8262
12000.0,1200.0,8,310.9841,5753.1564,5758.037,5758.0999,4793.8745,21.2524,23.5349,493.7377,20.9211
16000.0,1200.0,1,71.1472,1015.2915,1015.6802,1015.7234,1013.5637,13.4915,15.014,19.5153,13.2208
16000.0,1200.0,4,190.2614,3938.1242,3938.4539,3938.4906,3741.845,18.2341,19.3912,42.1671,17.7497
16000.0,1200.0,8,273.7329,7838.2916,7846.3271,7846.5189,6459.5366,23.1259,25.9639,30.287,22.6778
20000.0,1200.0,1,68.1864,1326.1643,1326.597,1326.6451,1324.2412,13.9128,15.3954,20.1193,13.5725
20000.0,1200.0,4,174.6577,5216.0389,5216.5443,5216.6005,4314.4051,18.885,19.9757,451.2614,18.5571
20000.0,1200.0,8,236.9984,10370.4154,10421.8596,10424.8803,7269.277,26.0323,30.4877,40.9242,25.0909
