model,backend,input_len,output_len,prefix_ratio,prefix_tokens,parallel_num,epochs,num_prompts,n_success,n_failed,avg_input_tokens,avg_output_tokens,throughput_req_s,throughput_tok_s,ttft_mean_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,e2el_mean_ms,e2el_p50_ms,e2el_p90_ms,e2el_p99_ms,duration_s
qwen-7,openai-chat,128,128,0.0,0,1,3,3,3,0,128,128,0.2723,34.8485,109.2479,82.6322,159.9081,177.2952,28.0581,28.2441,28.2603,28.264,3672.6254,3669.627,3688.1531,3692.3214,11.0191
qwen-7,openai-chat,128,128,0.0,0,4,3,12,12,0,128,128,1.0319,132.0797,146.9554,141.6282,207.1054,239.8076,29.3048,29.2627,29.582,30.4263,3868.6623,3860.8312,3903.3426,3981.8701,11.6293
qwen-7,openai-chat,128,128,0.0,0,8,3,24,24,0,128,128,1.7013,217.7711,297.8915,153.0329,259.0486,2231.0819,30.9467,29.6833,32.3945,43.7223,4228.1261,3957.6429,4811.0624,6100.0623,14.1066
qwen-7,openai-chat,512,256,0.0,0,1,3,3,3,0,512,256,0.1368,35.0081,102.3773,98.9601,111.4219,114.2259,28.2737,28.2717,28.282,28.2844,7312.1699,7308.2437,7319.293,7321.7791,21.9378
qwen-7,openai-chat,512,256,0.0,0,4,3,12,12,0,512,256,0.4852,124.21,198.9741,182.3393,254.4874,286.5601,30.4391,29.9179,32.1609,32.9011,7960.9389,7834.5304,8425.3938,8569.2051,24.7323
qwen-7,openai-chat,512,256,0.0,0,8,3,24,24,0,512,256,0.9566,244.8776,307.8225,209.355,533.8399,1023.6892,30.4954,30.3989,31.542,31.8291,8084.1484,8025.7744,8305.2321,8977.2242,25.0901
qwen-7,openai-chat,1024,512,0.0,0,1,3,3,3,0,1024,512,0.0682,34.919,147.9225,143.4343,156.7018,159.687,28.4035,28.3735,28.4827,28.5072,14662.1295,14642.3002,14695.5737,14707.5603,43.9875
qwen-7,openai-chat,1024,512,0.0,0,4,3,12,12,0,1024,512,0.2493,127.6663,400.8092,235.6981,1173.5448,1267.6412,30.1844,30.1511,30.701,30.9013,15825.036,15663.731,16537.1008,16588.4238,48.1255
qwen-7,openai-chat,1024,512,0.0,0,8,3,24,24,0,1024,512,0.4789,245.1727,383.1013,258.7836,653.7279,1260.7201,31.1341,31.0108,31.9668,32.3747,16292.6253,16412.5298,16780.7975,17067.8057,50.1198
