输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,46.0739,787.3306,791.5101,791.9745,768.755,22.219,26.771,49.6203,21.0803
2048.0,1200.0,4,156.3183,2616.5508,2617.0322,2617.0857,2604.5312,25.0683,31.1964,189.2812,23.4343
2048.0,1200.0,8,247.6683,5244.7782,5245.1519,5245.208,5165.4745,31.0226,36.8468,209.2554,28.0142
4096.0,1200.0,1,44.143,1376.8699,1377.1985,1377.235,1375.4097,22.831,27.6104,69.8743,21.5245
4096.0,1200.0,4,138.9649,5104.1422,5106.2934,5106.5324,5093.9929,26.1789,32.2233,82.3181,24.5548
4096.0,1200.0,8,203.2312,10198.9219,10813.6822,10922.1637,9720.6765,33.8967,41.3835,300.4823,30.5785
8192.0,1200.0,1,15.8684,2751.9549,2755.6347,2756.0436,2735.5999,68.6574,88.5263,138.1406,60.7893
8192.0,1200.0,4,54.666,10424.356,10445.4815,10447.8288,9509.2418,72.2873,92.0578,124.7664,64.5157
8192.0,1200.0,8,94.4356,20689.1694,20715.7628,20715.7811,15720.8922,74.3369,92.1035,232.7241,67.5152
12000.0,1200.0,1,15.5343,3989.0205,3989.283,3989.3121,3987.8539,69.2635,86.284,108.5664,61.1061
12000.0,1200.0,4,51.1974,15551.7515,15556.0052,15556.4778,14660.6452,73.109,91.8483,116.5522,65.2336
12000.0,1200.0,8,84.5604,30905.8344,30941.759,30941.839,22657.8622,77.1703,95.0932,1922.8853,68.8772
16000.0,1200.0,1,15.1395,5324.778,5325.1947,5325.241,5322.9262,69.2944,86.4867,113.3072,61.6607
16000.0,1200.0,4,47.809,21132.6709,21133.1792,21133.2357,18735.9207,73.9541,93.5917,135.2092,66.0857
16000.0,1200.0,8,75.5993,42438.0253,42440.9044,42441.0304,31089.1583,78.4996,96.2482,287.2382,70.4806
20000.0,1200.0,1,14.5769,6831.5092,6832.7148,6832.8488,6826.1508,70.2832,87.5448,119.1813,62.9616
20000.0,1200.0,4,44.1144,26915.8587,26993.1318,27001.7177,19962.2067,77.9166,95.2984,138.4364,68.2579
20000.0,1200.0,8,67.8552,53704.4857,53748.8886,53750.9663,34500.0527,82.3525,98.9741,246.2512,73.1386
