输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,91.2879,162.1024,162.3997,162.4327,160.781,11.1719,11.809,14.3721,10.8275
2048.0,1200.0,4,321.2851,436.4456,437.2478,437.3369,381.8674,12.5628,13.2625,18.2204,12.0938
2048.0,1200.0,8,570.1927,783.9239,785.9029,786.191,725.2279,13.8906,14.448,18.8053,13.3842
4096.0,1200.0,1,90.0837,259.8858,260.4163,260.4753,257.5278,11.1747,11.7534,13.1158,10.8932
4096.0,1200.0,4,298.6876,809.5414,810.8882,811.0379,698.338,13.1664,13.736,16.3448,12.7357
4096.0,1200.0,8,503.165,1496.2744,1497.9181,1498.1743,1380.6,15.1061,15.5481,18.214,14.6588
8192.0,1200.0,1,40.4645,491.4148,492.7301,492.8763,485.5688,25.2676,39.5323,41.4667,24.3216
8192.0,1200.0,4,140.2679,1566.3833,1567.2067,1567.2982,1368.9373,39.1925,41.0904,85.7733,27.2197
8192.0,1200.0,8,284.1753,3008.2499,3008.8667,3008.9408,2344.9682,38.877,40.4373,42.3228,25.647
12000.0,1200.0,1,35.3747,695.3457,696.3061,696.4128,691.0771,39.0455,40.7965,79.0688,27.706
12000.0,1200.0,4,117.3081,2324.9095,2326.7373,2326.9403,1763.6854,40.3886,41.8733,497.1371,32.1754
12000.0,1200.0,8,272.4311,4303.7633,4545.5793,4549.4901,3006.1358,33.1998,41.8912,49.807,25.5838
16000.0,1200.0,1,38.0171,934.525,936.5316,936.7545,925.6069,38.9418,39.9868,78.0295,25.5482
16000.0,1200.0,4,146.2149,3154.2256,3162.6705,3163.6088,2420.5134,24.8314,39.9974,42.2892,24.7355
16000.0,1200.0,8,257.4373,5869.5893,6142.8346,6144.3373,4097.462,38.9598,40.9246,45.8026,25.954
20000.0,1200.0,1,31.7446,1194.9734,1199.7642,1200.2965,1173.681,40.1729,41.451,82.4947,30.5419
20000.0,1200.0,4,138.971,4022.4254,4037.5578,4039.2392,2767.126,40.4673,41.9263,43.7502,25.4339
20000.0,1200.0,8,234.0481,7461.1773,7827.1204,7828.5122,4702.8995,28.2541,40.3896,42.4625,27.6529
