输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,500.0,1,18.0162,3547.4075,3548.1497,3548.2321,3544.1087,48.9985,49.1222,49.8872,48.5144
2048.0,500.0,4,52.1198,13980.8062,13996.3081,13998.0305,12417.0036,49.4283,49.6149,51.4325,48.8686
2048.0,500.0,8,76.0473,28129.7848,28130.2334,28130.2719,27124.8683,49.7702,50.0338,52.7005,49.2307
4096.0,500.0,1,14.6233,7112.233,7112.9752,7113.0576,7108.9345,54.8313,54.9671,55.7657,54.2758
4096.0,500.0,4,36.0021,28243.5126,28245.4845,28245.7035,26495.5278,55.2984,55.5224,57.1912,54.7379
4096.0,500.0,8,47.669,56413.4418,56424.8632,56425.8449,51154.6659,55.6522,56.0249,59.0165,55.093
8192.0,500.0,1,10.3772,14487.6038,14488.0069,14488.0517,14485.812,68.1011,68.5426,70.2966,67.5315
8192.0,500.0,4,21.7942,57718.6035,57784.6754,57792.0167,50519.1723,68.7672,69.3482,72.1103,68.1895
8192.0,500.0,8,26.7637,112949.7522,115284.0961,115284.542,87511.3958,69.0397,69.9932,75.0127,68.4705
12000.0,1200.0,1,10.2654,21680.8091,21687.8527,21688.6354,21649.5041,80.83,81.2819,84.5728,79.4422
12000.0,1200.0,4,26.3191,86211.1944,86291.1525,86300.0367,66648.4073,81.5737,82.0885,87.0256,80.1796
12000.0,1200.0,8,35.7009,169989.4131,172289.0734,172289.1251,111773.3337,81.9023,82.3762,274.0809,80.5688
16000.0,1200.0,1,8.6212,29609.745,29610.6427,29610.7424,29605.7552,92.7708,93.2249,95.0465,91.3999
16000.0,1200.0,4,21.1387,117214.2101,117241.7863,117244.8503,91358.257,92.9846,93.4701,99.5319,91.6121
16000.0,1200.0,8,27.8323,231880.3282,234601.5899,234651.6643,153085.8983,93.4649,94.1505,105.2835,92.0902
20000.0,1200.0,1,7.4843,37464.048,37467.7741,37468.1881,37447.4876,104.0027,104.7225,106.9286,102.4943
20000.0,1200.0,4,17.585,149398.5469,149410.7823,149412.1418,117524.6755,104.402,104.9082,111.981,103.0469
20000.0,1200.0,8,22.6945,296084.7112,298691.0351,298696.6834,196184.4508,105.0569,105.568,119.0886,103.6816
