输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,127.8443,148.9615,149.7318,149.8174,145.5379,8.1421,9.0021,10.5718,7.7063
2048.0,1200.0,4,456.857,380.0581,380.6756,380.7443,346.1535,8.6738,9.5108,10.641,8.4482
2048.0,1200.0,8,816.1329,666.7708,667.3409,667.4112,644.6872,9.4958,10.3636,13.5434,9.2527
4096.0,1200.0,1,125.0901,245.2674,246.8593,247.0362,238.1925,8.3365,9.0383,10.4874,7.8009
4096.0,1200.0,4,439.5252,672.0635,672.3049,672.3317,639.1925,8.8876,9.5765,12.3245,8.5454
4096.0,1200.0,8,751.6404,1244.7729,1245.5471,1245.632,1220.199,10.0452,10.9256,12.9896,9.6152
8192.0,1200.0,1,32.2481,431.7056,433.1741,433.3373,425.1787,31.0178,32.79,70.5568,30.6787
8192.0,1200.0,4,121.4808,1311.7612,1312.0501,1312.0822,1264.7295,32.6531,34.8098,72.5464,31.8598
8192.0,1200.0,8,245.6506,2469.7691,2477.0474,2478.2331,2252.0742,33.5649,35.7467,77.6161,30.5321
12000.0,1200.0,1,31.5935,599.8065,600.7694,600.8764,595.5269,31.9705,33.7683,39.7421,31.1809
12000.0,1200.0,4,117.2455,1890.8702,1898.9663,1899.8659,1681.5758,33.1365,35.4396,82.2752,32.5605
12000.0,1200.0,8,228.5191,3550.7526,3624.6265,3626.9755,2786.9233,32.6163,34.5205,40.8733,32.0101
16000.0,1200.0,1,31.0008,769.6255,770.4429,770.5337,765.9926,32.1017,37.2638,66.4572,31.6425
16000.0,1200.0,4,116.6015,2507.9617,2514.0839,2514.7642,2257.393,32.5831,34.4994,41.3637,32.2342
16000.0,1200.0,8,218.3204,4783.7495,4856.5765,4857.5086,3779.3291,33.6888,35.9092,77.6937,32.6171
20000.0,1200.0,1,30.8833,973.6414,976.546,976.8688,960.732,32.2815,34.4127,69.2675,31.6038
20000.0,1200.0,4,120.3167,3168.2255,3188.8732,3191.1674,2517.9605,31.7413,33.6281,700.9391,30.6159
20000.0,1200.0,8,308.9449,6120.9941,6200.4989,6204.1711,4125.953,31.6848,32.4086,34.7289,20.7249
