输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,119.3584,175.6952,176.2329,176.2927,173.3055,8.5504,9.4316,11.4978,8.2397
2048.0,1200.0,4,427.9338,535.2838,535.5114,535.5366,493.204,9.3384,9.9307,13.1661,8.9049
2048.0,1200.0,8,779.7461,1044.9603,1047.2859,1047.6403,1014.2104,9.8199,10.6795,14.8308,9.3921
4096.0,1200.0,1,116.819,313.6057,313.85,313.8771,312.5201,8.669,9.3591,12.726,8.306
4096.0,1200.0,4,368.369,1057.916,1058.6947,1058.7812,1002.4922,10.2034,11.0422,13.4909,9.9807
4096.0,1200.0,8,682.2875,2037.5651,2040.4053,2040.8392,2000.9787,10.5656,11.6358,16.0903,10.0359
8192.0,1200.0,1,46.3686,620.5665,621.7303,621.8596,615.3941,31.6607,32.7588,63.941,21.0621
8192.0,1200.0,4,156.2703,2113.628,2115.2114,2115.3873,2040.3537,32.7625,35.327,65.7131,23.8543
8192.0,1200.0,8,362.7753,4105.7953,4106.4317,4106.4959,3760.7038,18.8506,20.0916,23.7612,18.6393
12000.0,1200.0,1,41.1892,876.4874,876.549,876.5559,876.2134,32.8261,36.4295,78.4925,23.566
12000.0,1200.0,4,165.9907,3142.9086,3155.2522,3156.6237,2783.0886,30.9221,33.9385,36.304,21.4788
12000.0,1200.0,8,330.7657,6017.9905,6141.739,6144.2284,4705.9532,18.9348,33.6658,36.2053,19.0747
16000.0,1200.0,1,45.0945,1186.7168,1187.3154,1187.3819,1184.0561,32.2608,33.8292,72.1299,21.2027
16000.0,1200.0,4,167.0276,4200.1412,4212.7396,4214.1394,3766.7113,30.4727,34.7073,73.1987,20.4569
16000.0,1200.0,8,279.815,8164.5017,8288.4333,8290.6479,6425.2357,33.6874,34.3859,66.1102,21.6883
20000.0,1200.0,1,45.202,1505.0475,1505.1763,1505.1906,1504.4749,32.2334,40.2515,71.1187,20.8773
20000.0,1200.0,4,168.7252,5361.6228,5371.0926,5372.1447,4225.5092,19.0533,31.4734,34.3742,19.2389
20000.0,1200.0,8,238.2652,10443.8975,10576.122,10583.1005,6975.5077,31.3505,35.2044,67.2526,24.7766
