输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,100.8258,268.9852,269.019,269.0228,268.8349,9.9794,10.4753,11.5082,9.7013
2048.0,1200.0,4,358.4493,957.4435,957.9243,957.9777,869.1458,10.5889,11.239,12.5991,10.3719
2048.0,1200.0,8,570.4532,1890.4299,1892.4656,1892.7545,1832.1214,12.9423,13.351,313.2831,12.4598
4096.0,1200.0,1,95.9477,520.3559,520.4997,520.5157,519.717,10.2821,10.9566,11.4336,9.9972
4096.0,1200.0,4,316.9527,1914.8445,1915.4936,1915.5657,1816.1538,11.2129,11.8893,13.1958,11.0305
4096.0,1200.0,8,471.0377,3774.5973,3777.3551,3777.7585,3716.0789,14.2664,14.7802,17.3669,13.8482
8192.0,1200.0,1,53.8414,1044.5209,1046.2001,1046.3866,1037.058,17.9547,18.6899,21.1042,17.7231
8192.0,1200.0,4,187.0541,3887.27,3888.0414,3888.1271,3769.4793,18.3793,19.6146,22.4711,18.1606
8192.0,1200.0,8,306.6924,7715.3543,7717.0099,7717.2038,7045.4604,19.9286,32.3605,67.2032,19.6787
12000.0,1200.0,1,46.5584,1555.4382,1557.6751,1557.9236,1545.4966,31.8689,32.5584,48.5616,20.1878
12000.0,1200.0,4,162.0818,5821.6768,5839.8892,5841.9128,5153.6061,32.4253,33.3095,35.3057,19.8228
12000.0,1200.0,8,247.3875,11249.0323,11451.1027,11452.1657,8766.4365,23.2582,23.8009,30.3167,22.8078
16000.0,1200.0,1,44.3204,2084.6815,2085.8787,2086.0117,2079.3606,32.1431,33.8413,72.3904,20.8496
16000.0,1200.0,4,160.0844,7840.3736,7843.4901,7843.8363,7028.5271,18.7374,20.2878,24.9949,18.462
16000.0,1200.0,8,204.2175,15298.2192,15518.7274,15520.7404,12008.8132,26.7303,27.3939,35.7793,26.2527
20000.0,1200.0,1,50.0538,2635.8396,2636.5232,2636.5991,2632.8016,18.0207,18.9809,22.6862,17.7984
20000.0,1200.0,4,149.0687,9960.7913,9971.2881,9972.4544,7811.6169,18.8062,20.2989,24.7824,18.5352
20000.0,1200.0,8,172.7038,19557.0431,19795.7665,19804.9496,12995.4992,30.2772,31.3519,41.1474,29.841
