输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,43.2981,286.4453,288.6009,288.8404,276.8649,23.1827,28.3575,47.9011,22.8834
2048.0,1200.0,4,153.3848,851.728,851.8069,851.8156,848.906,25.8691,31.2013,49.3306,25.3899
2048.0,1200.0,8,280.1557,1645.1642,1645.9117,1646.0297,1642.1349,27.7233,32.3865,54.3833,27.2058
4096.0,1200.0,1,42.4931,468.4128,468.545,468.5597,467.8251,23.4092,29.1733,47.9725,23.1623
4096.0,1200.0,4,143.7534,1667.1613,1667.2634,1667.2747,1657.3833,26.8861,31.7654,52.9106,26.4645
4096.0,1200.0,8,249.2734,3409.4511,3430.2537,3433.7953,3399.3443,29.7852,34.7407,55.9935,29.253
8192.0,1200.0,1,40.9097,911.5121,912.7514,912.8891,906.004,23.966,29.5537,50.2252,23.7084
8192.0,1200.0,4,129.1833,3512.5862,3522.7003,3523.8241,3495.7412,28.6236,33.2333,51.936,28.0461
8192.0,1200.0,8,207.5473,6978.167,6995.4421,6995.4815,6174.995,33.4937,37.2351,57.7726,32.7467
12000.0,1200.0,1,36.4512,1317.1666,1317.471,1317.5049,1315.8133,28.9602,33.0901,48.984,26.3603
12000.0,1200.0,4,116.7754,5248.6847,5248.8892,5248.9119,5228.6508,30.2733,36.3312,53.7633,29.8959
12000.0,1200.0,8,178.8331,10456.548,10459.9067,10459.9494,8298.6713,36.3591,41.8768,535.9802,36.022
16000.0,1200.0,1,38.2473,1791.7854,1791.8061,1791.8084,1791.6933,24.885,29.8258,49.8478,24.6725
16000.0,1200.0,4,106.5977,7236.668,7236.9697,7237.0032,7171.7735,31.5442,36.9908,774.5774,31.5039
16000.0,1200.0,8,157.8327,14425.4013,14432.7222,14432.7676,11836.0414,39.193,44.9907,65.3493,38.6628
20000.0,1200.0,1,36.8007,2333.3061,2333.8405,2333.8999,2330.9312,25.5506,30.5555,50.7719,25.2512
20000.0,1200.0,4,100.1066,9102.8784,9116.2707,9117.7587,7104.2012,32.8744,37.3647,59.1061,32.3822
20000.0,1200.0,8,140.4005,18183.0385,18212.0854,18216.1172,12505.9927,42.9111,48.7122,72.9585,41.8125
