输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048,1200,1,64.5559,427.4617,427.6019,427.6175,426.8387,15.2641,15.5615,16.1517,15.1472
2048,1200,4,222.9651,1554.3187,1554.4414,1554.4551,1274.8544,16.8843,17.1793,19.173,16.6567
2048,1200,8,399.99,3058.7227,3059.9361,3060.1002,2733.4938,17.7037,18.0835,20.6774,17.4616
4096,1200,1,63.1356,835.088,836.3059,836.4413,829.6748,15.2919,15.5717,16.944,15.1599
4096,1200,4,204.4804,3085.1091,3086.7411,3086.9224,2520.3189,17.131,17.4041,20.3748,17.0064
4096,1200,8,348.8018,6109.5366,6112.046,6112.1824,4517.2285,17.9995,18.5517,22.175,17.8506
8192,1200,1,45.7739,1630.9552,1631.0699,1631.0827,1630.4452,20.8044,25.1925,26.7833,20.5013
8192,1200,4,152.978,6196.3459,6198.926,6199.2127,4289.3725,21.2441,22.1771,25.3548,20.9946
8192,1200,8,254.2456,11521.8795,12291.2115,12291.3333,7532.886,21.5069,22.8313,28.7146,21.2333
8192,1200,16,337.38,22887.6908,24422.8693,24423.0494,13696.5202,28.4512,29.0548,43.0933,27.0797
8192,1200,32,397.0646,44154.5281,48727.226,48805.0395,25909.3982,40.4384,41.3141,69.9222,39.9732
8192,1200,64,480.8478,89636.4872,96831.7946,97279.107,50236.8757,52.6377,56.6534,492.6383,52.0475
12000,1200,1,44.6788,2376.3474,2377.5895,2377.7275,2370.8272,20.6772,21.732,34.3942,20.4197
12000,1200,4,140.0916,9167.1376,9169.79,9170.0847,5770.3175,21.1348,22.2274,26.6774,20.9203
12000,1200,8,219.2017,17136.4853,18268.6429,18269.5229,10340.3734,21.4994,22.6447,30.9973,21.2744
16000,1200,1,43.4348,3158.0282,3159.4355,3159.5919,3151.7734,20.6659,21.6411,23.1873,20.4119
16000,1200,4,128.4021,12251.8732,12265.132,12266.6052,7709.4038,21.1325,22.2396,28.0912,20.9462
16000,1200,8,190.9891,22885.5088,24415.3009,24422.092,13787.6022,21.7503,23.0368,33.1094,21.5563
20000,1200,1,41.9336,3998.3845,4003.9313,4004.5476,3973.7319,20.795,21.7078,23.5026,20.5511
20000,1200,4,117.4992,15436.0124,15436.1404,15436.1547,9714.2258,21.2254,22.4541,394.9682,21.188
20000,1200,8,166.6248,28840.2954,30767.6254,30775.0607,17384.4314,22.6203,24.4339,37.6959,22.3859
