输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
512.0,1024.0,1,164.135,71.0788,83.6052,84.9971,44.9356,6.6562,9.9726,20.9961,6.0554
512.0,1024.0,4,619.6142,92.1483,93.2824,93.4453,65.2508,7.1705,10.8809,22.6704,6.3889
512.0,1024.0,8,1296.42,170.2084,172.08,172.6143,102.3274,6.5819,9.3003,41.827,6.0637
512.0,1024.0,16,2358.2079,174.7988,177.1936,177.4334,113.0611,7.6014,10.9038,21.9477,6.6709
512.0,1024.0,24,2370.6613,249.9135,253.3551,253.5091,163.531,11.6244,16.2072,29.1701,9.9519
512.0,1024.0,32,4044.9283,280.6606,287.5505,289.9036,180.2125,8.5192,12.7354,24.812,7.7245
512.0,1024.0,40,4598.6593,295.792,333.9163,349.607,192.1877,9.5961,12.9496,28.8747,8.4776
512.0,1024.0,50,5241.1456,493.6388,506.529,571.0847,244.1825,10.2552,13.4205,28.1577,9.2373
512.0,1024.0,64,6271.1427,408.0974,944.3428,948.0779,239.2532,11.0376,14.4094,28.9879,9.7697
512.0,1024.0,72,6680.0125,404.5652,456.6561,484.3754,287.3977,11.6642,16.0355,65.165,10.3824
512.0,1024.0,96,7860.4384,485.1943,697.1802,717.3244,285.0345,13.6261,17.8242,34.1745,11.7833
512.0,1024.0,112,8317.9846,827.688,1125.2258,1131.3725,466.501,14.958,19.3316,34.7866,12.7186
512.0,1024.0,128,8920.8792,652.2728,959.8525,1006.0612,412.0232,16.1717,22.5059,36.2595,13.7335
512.0,1024.0,156,9427.7494,799.4922,1281.0832,1346.558,529.2458,18.5268,24.194,44.5289,15.7938
512.0,1024.0,200,10122.7581,1558.7619,1823.8266,1859.2074,779.5117,21.9296,27.8792,50.659,18.6567
512.0,1024.0,256,10762.5865,1921.1081,2455.5496,2708.1739,1123.7844,26.2235,38.1728,74.4754,22.093
512.0,1024.0,300,11550.8092,1698.1844,2293.8774,2321.0221,1002.6942,29.783,41.5399,95.3224,24.548
512.0,1024.0,400,11790.4591,3386.8342,4614.7445,4643.3399,2029.1301,36.1572,52.2005,810.1483,30.8668
512.0,1024.0,500,13050.0995,4124.6044,6322.8946,6976.3901,2361.3622,42.6701,58.9794,837.6534,35.1877
512.0,1024.0,1000,12850.4028,10646.3041,15152.8932,16163.4849,5906.8785,85.274,170.0798,24228.8026,67.2605
512.0,1024.0,1500,13217.088,75489.2396,82429.7018,84835.4324,26993.9672,51.1964,74.0238,509.6681,39.1638
512.0,1024.0,2000,13476.8952,85236.402,102835.8163,106642.757,41554.6452,78.374,164.9995,19630.2661,61.1288
1024.0,1024.0,1,161.5755,56.0066,65.5964,66.6619,43.8433,6.481,9.3191,17.0104,6.1453
1024.0,1024.0,4,626.9737,100.7539,101.5336,101.632,68.6963,6.615,8.7432,27.6327,6.3051
1024.0,1024.0,8,1305.5328,123.2846,124.5745,124.6791,89.8169,6.5645,7.7496,34.7297,6.0319
1024.0,1024.0,16,2275.1286,232.5299,234.7587,235.2651,149.9168,7.4603,8.7644,25.6193,6.8747
1024.0,1024.0,24,2561.0419,254.4997,301.013,308.0219,185.9941,9.7507,12.3953,44.4726,9.1707
1024.0,1024.0,32,3194.3229,300.6548,395.3611,403.2977,221.5573,10.2185,13.6855,30.7576,9.7762
1024.0,1024.0,40,3771.471,428.2292,456.8368,457.7546,259.0484,10.9289,14.9967,56.9792,10.3146
1024.0,1024.0,50,4615.1991,1230.9701,1250.6676,1276.8574,453.1422,11.1794,13.294,30.1938,10.2974
1024.0,1024.0,64,5694.3654,456.945,591.9425,610.2847,323.4476,11.8667,13.7534,42.671,10.8047
1024.0,1024.0,72,5817.7445,548.9859,635.1975,654.9247,351.0633,12.9645,15.8351,40.1685,11.8664
1024.0,1024.0,96,6757.9429,1104.7114,1160.9571,1170.6734,590.1064,14.822,18.7689,37.763,13.3209
