输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048,1200,1,42.1098,1167.3137,1167.5599,1167.5872,1166.2199,22.9051,23.176,24.992,22.7932
2048,1200,4,142.748,4584.2252,4585.4936,4585.6345,4243.3818,24.4427,24.6986,28.1744,24.2246
2048,1200,8,235.838,9298.8691,9300.0535,9300.1997,9090.9868,26.6827,26.9813,29.6962,26.1906
4096,1200,1,39.7446,2360.4041,2361.066,2361.1396,2357.462,23.3425,23.5857,24.7285,23.2141
4096,1200,4,121.4093,9378.4189,9379.8212,9379.977,8960.1499,25.5009,25.7056,28.2433,25.1668
4096,1200,8,183.2591,18887.505,18890.0991,18890.4902,18637.283,28.3486,28.6074,32.8013,27.9554
8192,1200,1,33.0962,4953.6411,4956.532,4956.8532,4940.7928,26.2861,26.7974,29.3129,26.1176
8192,1200,4,87.2539,19401.3413,19403.7191,19403.9833,18919.9634,31.3418,31.8285,297.1703,29.7201
8192,1200,8,121.0853,38766.2947,38770.0237,38770.5794,35767.8363,34.3454,34.7839,41.462,33.8283
8192,1200,16,147.5002,78162.5047,78170.6543,78170.9716,61106.2477,44.148,44.753,376.2955,43.3623
8192,1200,32,160.118,154540.5222,156378.9129,156402.7379,102879.0588,66.3529,67.2969,6774.9202,64.8263
8192,1200,64,153.9102,420871.0574,423409.469,423433.243,229554.2407,63.6696,68.1834,361.2013,63.28
12000,1200,1,30.5884,7330.4045,7333.1931,7333.503,7318.0107,26.81,27.3077,28.8822,26.6147
12000,1200,4,72.6622,28963.899,29000.8574,29004.9638,25944.951,31.225,31.8344,36.8386,30.9227
12000,1200,8,93.7033,57216.2994,58123.8443,58178.0491,44732.1018,37.5714,38.1158,47.2588,37.0685
16000,1200,1,28.4207,9898.143,9903.5779,9904.1817,9873.988,27.1693,27.7774,31.8926,26.9791
16000,1200,4,61.0729,39438.5876,39473.3474,39477.2096,35652.7007,32.9517,33.5677,39.8155,32.6441
16000,1200,8,75.4005,77984.8591,78862.3582,78866.8803,61254.423,40.8702,41.4312,52.2834,40.411
20000,1200,1,26.3335,12683.4101,12685.0991,12685.2868,12675.9034,27.6169,28.2561,30.1826,27.4338
20000,1200,4,52.4168,50277.8702,50390.6915,50403.2272,39596.7323,34.6771,35.2927,43.1592,34.4041
20000,1200,8,62.4856,100097.5072,100981.252,100984.2949,66378.6976,44.4672,45.3079,59.0051,43.9058
