输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,500.0,1,55.6058,311.7268,312.0588,312.0957,310.2511,17.4513,17.7049,18.1633,17.3979
2048.0,500.0,4,190.4855,1087.2901,1087.2943,1087.2948,904.0628,18.911,19.1949,19.8201,18.859
2048.0,500.0,8,292.5271,2099.9639,2100.3779,2100.425,1887.6913,23.6432,23.8806,25.7122,23.198
4096.0,500.0,1,52.104,587.345,587.3451,587.3451,587.3448,18.2759,18.459,18.8434,18.0538
4096.0,500.0,4,166.245,2137.543,2137.5957,2137.6015,1773.5779,20.0507,20.3837,21.8427,19.8225
4096.0,500.0,8,220.2943,4223.5949,4227.9574,4228.0122,3175.8131,28.3589,28.5804,31.6769,27.9159
8192.0,500.0,1,40.1375,1180.4912,1181.705,1181.8399,1175.0963,22.7375,23.2993,24.289,22.609
8192.0,500.0,4,122.7361,4408.8106,4411.4395,4411.7316,3108.5079,24.0212,24.646,27.2973,23.8135
8192.0,500.0,8,141.5331,8196.3825,8731.5552,8737.3301,5435.2458,39.6251,40.1288,45.6882,39.1541
12000.0,1200.0,1,40.9709,1744.8209,1745.2672,1745.3168,1742.8376,23.2024,23.5811,27.0008,22.9745
12000.0,1200.0,4,128.1095,6704.8644,6705.1532,6705.1853,4288.2431,25.9464,26.2896,30.6686,25.6521
12000.0,1200.0,8,133.8473,12572.3984,13362.5897,13365.6082,7638.9687,49.7735,50.2529,58.9294,48.6684
16000.0,1200.0,1,38.2092,2378.5191,2379.1313,2379.1993,2375.7981,24.4677,24.7565,26.1874,24.2122
16000.0,1200.0,4,113.9369,9186.7454,9194.9475,9195.8589,5877.2794,27.7295,28.038,34.2741,27.4669
16000.0,1200.0,8,109.317,17374.5059,18552.2509,18597.7939,10515.1361,58.9525,59.4855,70.9593,57.8445
20000.0,1200.0,1,35.6544,3140.9452,3150.8546,3151.9556,3096.9035,25.7072,25.9656,27.8365,25.4883
20000.0,1200.0,4,102.2155,11860.5016,11864.8886,11865.3761,7594.4439,29.539,30.0056,37.0325,29.2692
20000.0,1200.0,8,92.3285,22207.6581,23589.2983,23590.5693,13480.3261,68.1411,68.6483,82.4648,67.0371
