输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,69.2988,195.8725,196.7095,196.8024,192.153,14.7001,16.2327,20.1129,14.2813
2048.0,1200.0,4,262.9826,554.0059,554.507,554.5627,466.4579,15.0084,16.0887,19.502,14.763
2048.0,1200.0,8,460.6068,1039.6914,1040.3462,1040.4502,941.288,16.9616,17.9125,23.3086,16.5089
4096.0,1200.0,1,67.3987,336.8092,337.3059,337.361,334.6018,14.6788,16.2854,18.6767,14.5697
4096.0,1200.0,4,251.9377,1068.0338,1068.3476,1068.3825,889.2598,15.4757,15.8468,19.341,15.0069
4096.0,1200.0,8,406.6946,2059.9635,2061.2429,2061.397,1853.112,18.3302,18.7371,22.8274,17.9691
8192.0,1200.0,1,29.6147,658.2666,659.6563,659.8107,652.0901,33.5052,68.4191,79.0229,33.2511
8192.0,1200.0,4,145.4273,2194.2628,2195.1374,2195.2346,1844.1294,33.1646,38.1818,76.1357,25.6761
8192.0,1200.0,8,251.0083,4242.6295,4244.2187,4244.397,3106.9562,33.0502,42.2812,76.346,28.3566
12000.0,1200.0,1,30.1914,942.6778,944.0453,944.1972,936.6,33.741,68.6193,81.0511,32.3722
12000.0,1200.0,4,173.7501,3273.0873,3298.7606,3301.6132,2367.3396,19.9131,32.717,76.7404,20.2828
12000.0,1200.0,8,227.6008,5947.8998,6331.1275,6340.1983,4023.7824,33.2212,42.2908,79.5131,29.9
16000.0,1200.0,1,31.8694,1290.6599,1292.6245,1292.8428,1281.9285,37.4562,67.859,86.8535,30.331
16000.0,1200.0,4,142.1282,4452.5048,4497.2499,4502.2216,3174.3621,33.0883,41.0544,74.8193,24.4222
16000.0,1200.0,8,210.9956,8110.8861,8633.2267,8638.4453,5430.4943,32.5883,34.5132,74.6349,30.7382
20000.0,1200.0,1,40.1789,1590.3572,1590.7973,1590.8462,1588.4011,32.4767,34.5412,70.9217,23.5878
20000.0,1200.0,4,124.4795,5740.712,5756.1953,5757.9157,3727.1149,33.3409,41.4212,272.3956,27.353
20000.0,1200.0,8,183.703,10578.5883,11253.1232,11264.6095,6491.7754,34.4748,42.2654,90.2892,34.1967
