输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,46.9095,273.5373,275.2801,275.4738,265.7913,21.4131,22.984,25.5481,21.1126
2048.0,1200.0,4,172.1373,918.1081,918.5801,918.6326,762.2204,22.8983,23.2097,28.253,22.4875
2048.0,1200.0,8,329.9978,1764.1439,1764.6773,1764.7452,1576.3164,23.1882,23.4135,27.222,22.7899
4096.0,1200.0,1,45.1902,513.6179,514.3003,514.3761,510.5854,21.9967,23.5648,27.1871,21.7206
4096.0,1200.0,4,155.111,1821.6569,1822.2939,1822.3647,1495.7606,24.7362,24.9451,32.7267,24.2898
4096.0,1200.0,8,290.378,3570.8108,3572.0288,3572.157,3185.2291,25.0249,25.3231,33.1373,24.5957
8192.0,1200.0,1,39.0635,1032.5705,1033.2646,1033.3417,1029.4859,26.0004,39.9243,77.8513,24.7593
8192.0,1200.0,4,122.9473,3787.0281,3787.8546,3787.9464,3091.9299,29.8138,31.5986,71.3125,29.4123
8192.0,1200.0,8,223.7695,7353.6486,7355.1676,7355.359,5211.2153,30.0145,30.9308,35.0552,29.6385
12000.0,1200.0,1,37.5594,1544.187,1545.2366,1545.3532,1539.5225,25.4272,29.1451,79.678,25.3615
12000.0,1200.0,4,107.8958,5623.1269,5666.1944,5670.9797,3922.0086,32.8349,33.4679,39.5294,32.3962
12000.0,1200.0,8,189.858,10410.6888,11117.2459,11121.7303,6840.341,33.3418,34.2198,40.4435,32.891
16000.0,1200.0,1,35.1756,2110.6156,2111.642,2111.756,2106.0537,26.8917,29.5692,69.8992,26.694
16000.0,1200.0,4,94.0576,7772.5389,7784.1852,7785.4793,5412.8058,36.4883,37.2433,237.1415,36.0683
16000.0,1200.0,8,162.7919,14316.8883,15271.8367,15274.8911,9394.3364,36.822,37.9376,245.9303,36.4335
20000.0,1200.0,1,33.0611,2679.0847,2682.1143,2682.4509,2665.6197,28.15,32.6013,83.9942,28.0473
20000.0,1200.0,4,83.3374,10038.6648,10062.4158,10065.0549,6370.9579,40.1123,40.7286,49.8096,39.6473
20000.0,1200.0,8,140.7374,18637.3878,19867.3252,19869.4488,11288.4505,40.7654,42.0569,51.6134,40.2975
