输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,58.507,258.8611,278.3221,280.4844,172.3679,17.0189,17.2546,19.5135,16.9628
2048.0,1200.0,4,182.8766,312.9656,313.4079,313.457,197.8633,22.7849,23.0549,24.6562,21.7074
2048.0,1200.0,8,353.5689,331.8866,332.6886,332.7858,215.3615,23.974,24.2928,27.5892,22.4513
2048.0,1200.0,16,744.3071,359.2425,359.8702,359.9027,257.8948,22.0368,22.4534,31.7541,21.2709
4096.0,1200.0,1,57.9149,471.2458,511.5311,516.0072,292.1999,17.085,17.3441,20.7954,17.0373
4096.0,1200.0,4,181.9395,553.0216,553.3754,553.4147,325.3189,22.8625,23.1906,24.0403,21.7154
4096.0,1200.0,8,326.7796,574.1766,574.6018,574.6516,357.8336,27.3363,28.1101,30.7057,24.1759
4096.0,1200.0,16,676.1748,601.1285,602.1878,602.3201,402.2105,24.9262,25.3123,31.3586,23.2909
8192.0,1200.0,1,56.707,949.0271,1035.1924,1044.7664,566.0701,17.2261,17.3969,19.723,17.1767
8192.0,1200.0,4,168.8687,1087.1112,1087.2953,1087.3157,605.1792,25.6149,26.0024,27.5182,23.1761
8192.0,1200.0,8,301.533,1125.6839,1126.105,1126.1463,662.7924,30.1457,30.6617,31.6197,25.9624
8192.0,1200.0,16,492.2678,1161.8879,1162.6533,1162.794,738.3709,37.0032,37.8149,38.6084,31.8425
12000.0,1200.0,1,55.4095,1542.6203,1686.1312,1702.0769,904.794,17.3616,17.6658,21.3735,17.3077
12000.0,1200.0,4,154.9067,1710.8438,1711.1937,1711.2326,946.7509,25.9259,26.3217,30.8796,25.0306
12000.0,1200.0,8,248.8193,1745.5779,1746.4008,1746.5022,999.3,33.2011,33.7227,38.5104,31.2986
12000.0,1200.0,16,403.1081,1800.0949,1801.3486,1801.6398,1161.6967,42.3131,43.189,50.2043,38.6513
16000.0,1200.0,1,54.1542,2145.733,2348.1402,2370.6299,1246.1457,17.5035,17.6857,21.2748,17.4414
16000.0,1200.0,4,174.9841,2407.4026,2407.9417,2408.0016,1303.1313,23.4925,23.7793,26.1644,21.7587
16000.0,1200.0,8,275.1419,2456.5976,2457.4448,2457.5794,1396.2212,29.53,29.9655,37.4017,27.8756
16000.0,1200.0,16,346.6043,2494.5061,2495.9904,2496.2216,1512.5862,51.8274,53.0116,58.366,44.8456
20000.0,1200.0,1,52.5298,2934.4217,3213.7103,3244.7423,1693.1393,17.6953,17.9124,20.9267,17.6404
20000.0,1200.0,4,164.569,3254.7842,3255.1803,3255.2243,1750.1838,23.8953,24.3834,28.8593,22.8279
20000.0,1200.0,8,319.7282,3323.8706,3325.0738,3325.204,1859.6075,23.6185,24.0763,33.5192,23.3895
20000.0,1200.0,16,305.7443,3400.6821,3402.3811,3402.6068,2040.4927,55.5895,56.6075,72.6927,50.5532
