输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
512.0,1024.0,1,49.8654,68.2503,79.4016,80.6406,53.7257,20.3913,21.3273,35.6653,20.0182
512.0,1024.0,4,191.8264,177.7623,178.6463,178.7458,92.4784,21.3825,23.0073,32.2044,20.7669
512.0,1024.0,8,368.5419,269.8139,271.2511,271.4081,128.6354,22.1128,23.9416,45.2571,21.5815
512.0,1024.0,16,694.6937,562.588,564.5708,564.6827,212.6212,23.4605,25.8771,44.3808,22.8173
512.0,1024.0,24,1030.2143,715.4476,719.5018,720.7998,267.7964,23.8101,25.579,940.3406,23.032
512.0,1024.0,32,1353.2583,908.3188,912.2051,913.2061,347.7261,24.4051,26.6398,93.2264,23.3043
512.0,1024.0,40,1613.9625,991.7936,1200.6546,1201.2209,388.7697,25.6466,29.5819,49.4937,24.3629
512.0,1024.0,50,1858.183,995.0441,1307.4701,1318.6286,473.7105,28.0086,32.4439,65.0302,26.375
512.0,1024.0,64,2245.1788,1017.8367,1695.8911,1710.5117,514.5319,30.7258,38.4546,63.1173,27.8904
512.0,1024.0,72,2363.571,1038.5791,1805.374,1821.0488,557.2422,32.3585,40.0231,65.0872,29.7945
512.0,1024.0,96,2928.5676,1880.503,2383.6577,2387.5091,745.5483,36.9556,46.4234,66.2678,31.6708
512.0,1024.0,112,3111.8717,1890.9746,2593.9273,2615.529,759.6741,43.3879,54.3991,82.9113,34.9691
512.0,1024.0,128,3341.5311,1913.4073,3009.3274,3047.1674,803.7746,46.8771,57.9842,88.7734,37.1335
512.0,1024.0,156,3632.9256,2027.3942,3683.1427,3896.2658,992.588,50.0094,61.0155,998.6338,41.4519
512.0,1024.0,200,4044.1641,2745.8826,4315.4972,4320.2894,1215.0697,53.5413,64.0792,2943.4333,46.8233
512.0,1024.0,256,3736.1524,3605.6435,5792.3265,5796.0378,2256.7607,57.3408,75.6207,22594.6794,55.6799
1024.0,1024.0,1,49.0316,78.721,97.3482,99.4179,56.8141,21.0532,21.7807,26.188,20.3565
1024.0,1024.0,4,186.5256,262.6437,263.8176,264.0056,106.4142,22.0156,23.1442,48.0967,21.3423
1024.0,1024.0,8,366.5446,480.4775,481.6931,481.8896,167.2847,22.0092,22.9415,28.739,21.6575
1024.0,1024.0,16,705.9378,861.2388,864.6737,865.7197,263.4758,23.1443,24.5462,40.4477,22.3934
1024.0,1024.0,24,986.8199,981.7948,1374.398,1375.4583,363.9594,24.8458,25.9689,42.8224,23.9146
1024.0,1024.0,32,1253.5543,1011.7933,1453.2169,1462.8541,409.8581,26.0112,27.1366,57.4014,25.0716
1024.0,1024.0,40,1507.5154,1911.7009,2202.8829,2203.6782,510.9196,26.9169,27.9124,45.3492,25.9087
1024.0,1024.0,50,1752.716,1872.2831,2617.8021,2629.1817,616.9575,28.9746,30.1081,63.1085,27.732
1024.0,1024.0,64,2234.2538,1942.3815,3280.7845,3298.3854,676.1646,29.1797,30.6513,577.9858,27.689
1024.0,1024.0,72,2320.952,2748.476,3659.887,3790.3721,759.3363,31.8403,33.4822,62.9112,29.9283
1024.0,1024.0,96,2920.1496,2745.9237,4790.7051,4817.0012,939.3119,33.7973,35.8079,65.0281,31.425
1024.0,1024.0,112,3197.8967,3598.6216,5175.4768,5203.451,1091.4709,36.1158,38.056,69.8937,33.3321
2048.0,1024.0,1,49.4494,146.5034,199.1152,204.9609,86.7761,20.5026,21.125,26.2851,20.1553
2048.0,1024.0,4,194.0976,302.4648,484.6516,484.9215,148.2948,20.9987,21.7883,37.0535,20.4533
2048.0,1024.0,8,366.1193,925.2324,926.3894,926.4956,272.2297,21.9108,23.1869,32.9823,21.5732
2048.0,1024.0,16,676.016,1147.017,1661.8282,1661.8866,395.1419,23.7216,24.6256,32.6157,23.2075
2048.0,1024.0,24,932.774,1909.3351,2548.7327,2549.7069,539.2713,25.7806,27.372,47.252,25.0533
2048.0,1024.0,32,1218.3861,2034.876,3213.3004,3219.5365,667.0872,26.4111,28.3909,49.1409,25.4198
2048.0,1024.0,40,1379.7165,2910.4719,4102.8541,4103.3045,777.4828,29.375,39.7661,58.3576,27.9454
2048.0,1024.0,50,1575.1269,2904.6482,5340.5141,5393.4332,940.841,33.1218,44.0858,64.1372,30.3457
2048.0,1024.0,64,1877.9086,3796.3754,6342.2899,6518.5668,1266.6578,36.1362,50.9669,81.5402,32.2378
2048.0,1024.0,72,1983.43,3718.0281,7030.5081,7053.3328,1173.6429,38.6579,50.14,67.6409,34.4311
2048.0,1024.0,96,2400.6507,5385.3887,9417.8255,9444.773,1557.8533,43.4368,55.1105,84.9993,37.3716
2048.0,1024.0,112,2587.8527,6373.0091,10643.3599,10962.6105,1951.4596,45.774,54.5921,78.1284,40.126
2048.0,1024.0,128,2672.9225,7174.125,11426.4465,11801.994,2392.4371,46.5447,57.1254,5562.8888,42.0648
2048.0,1024.0,156,2269.6113,8029.0164,13993.0034,14573.4148,4406.318,49.7526,61.2545,26334.2208,50.2648
2048.0,1024.0,200,2069.8629,14826.6843,18593.4421,19181.3683,9332.2142,52.5089,64.4738,48252.4811,61.2551
2048.0,1024.0,256,2047.2064,21878.2071,23800.8748,24246.0704,12563.6118,56.6374,82.1343,67184.9068,73.8642
4096.0,1024.0,1,14.7637,24522.626,24875.2882,24914.4729,14440.2381,52.8146,863.3983,924.6205,53.8456
